"Date","Result","Against","Stadium","Competition","Season"
"03.12.2005","3 - 0","Wigan Athletic","Anfield","Premier League","2005"
"06.12.2005","0 - 0","Chelsea","Stamford Bridge","Champions League First Group Phase","2005"
"10.12.2005","2 - 0","Middlesbrough","Anfield","Premier League","2005"
"15.12.2005","3 - 0","Deportivo Saprissa","Yokohama International Stadium","World Club Championship Semi-final","2005"
"18.12.2005","0 - 1","Sao Paolo","Yokohama International Stadium","World Club Championship","2005"
"26.12.2005","2 - 0","Newcastle United","Anfield","Premier League","2005"
"28.12.2005","3 - 1","Everton","Goodison Park","Premier League","2005"
"31.12.2005","1 - 0","West Bromwich Albion","Anfield","Premier League","2005"
"02.01.2006","2 - 2","Bolton Wanderers","Reebok Stadium","Premier League","2005"
"07.01.2006","5 - 3","Luton Town","Kenilworth Road","FA Cup 3rd round","2005"
"14.01.2006","1 - 0","Tottenham Hotspur","Anfield","Premier League","2005"
"22.01.2006","0 - 1","Manchester United","Old Trafford","Premier League","2005"
"29.01.2006","2 - 1","Portsmouth","Fratton Park","FA Cup 4th round","2005"
"01.02.2006","1 - 1","Birmingham City","Anfield","Premier League","2005"
"05.02.2006","0 - 2","Chelsea","Stamford Bridge","Premier League","2005"
"08.02.2006","0 - 2","Charlton Athletic","The Valley","Premier League","2005"
"11.02.2006","1 - 0","Wigan Athletic","JJB Stadium","Premier League","2005"
"14.02.2006","1 - 0","Arsenal","Anfield","Premier League","2005"
"18.02.2006","1 - 0","Manchester United","Anfield","FA Cup 5th round","2005"
"21.02.2006","0 - 1","Benfica","Estadio da Luz","Champions League  1st knockout r. 1st leg","2005"
"26.02.2006","1 - 0","Manchester City","Anfield","Premier League","2005"
"04.03.2006","0 - 0","Charlton Athletic","Anfield","Premier League","2005"
"08.03.2006","0 - 2","Benfica","Anfield","Champions League 1st knockout r. 2nd leg","2005"
"12.03.2006","1 - 2","Arsenal","Highbury","Premier League","2005"
"15.03.2006","5 - 1","Fulham","Anfield","Premier League","2005"
"19.03.2006","3 - 1","Newcastle United","St James' Park","Premier League","2005"
"21.03.2006","7 - 0","Birmingham City","St Andrews","FA Cup 6th round","2005"
"25.03.2006","3 - 1","Everton","Anfield","Premier League","2005"
"01.04.2006","2 - 0","West Bromwich Albion","The Hawthorns","Premier League","2005"
"09.04.2006","1 - 0","Bolton Wanderers","Anfield","Premier League","2005"
"16.04.2006","1 - 0","Blackburn Rovers","Ewood Park","Premier League","2005"
"22.04.2006","2 - 1","Chelsea","Old Trafford","FA Cup Semi-final","2005"
"26.04.2006","2 - 1","West Ham United","Upton Park","Premier League","2005"
"29.04.2006","3 - 1","Aston Villa","Anfield","Premier League","2005"
"07.05.2006","3 - 1","Portsmouth","Fratton Park","Premier League","2005"
"13.05.2006","3 - 3","West Ham United","Millennium Stadium","FA Cup Final","2005"
"09.08.2006","2 - 1","Maccabi Haifa","Anfield","Champions League 3rd Qualifying round 1st leg","2006"
"13.08.2006","2 - 1","Chelsea","Millennium Stadium","Community Shield","2006"
"19.08.2006","1 - 1","Sheffield United","Bramall Lane","Premier League","2006"
"22.08.2006","1 - 1","Maccabi Haifa","Valery Lobanovskiy Stadium","Champions League 3rd Qualifying round 2nd leg","2006"
"26.08.2006","2 - 1","West Ham United","Anfield","Premier League","2006"
"09.09.2006","0 - 3","Everton","Goodison Park","Premier League","2006"
"12.09.2006","0 - 0","PSV Eindhoven","Philips Stadion","Champions League First Group Phase","2006"
"17.09.2006","0 - 1","Chelsea","Stamford Bridge","Premier League","2006"
"20.09.2006","2 - 0","Newcastle United","Anfield","Premier League","2006"
"23.09.2006","3 - 0","Tottenham Hotspur","Anfield","Premier League","2006"
"27.09.2006","3 - 2","Galatasaray","Anfield","Champions League First Group Phase","2006"
"30.09.2006","0 - 2","Bolton Wanderers","Reebok Stadium","Premier League","2006"
"14.10.2006","1 - 1","Blackburn Rovers","Anfield","Premier League","2006"
"18.10.2006","1 - 0","Bordeaux","Jacques-Chaban Delmas Stadium","Champions League First Group Phase","2006"
"22.10.2006","0 - 2","Manchester United","Old Trafford","Premier League","2006"
"25.10.2006","4 - 3","Reading","Anfield","League Cup 3rd round","2006"
"28.10.2006","3 - 1","Aston Villa","Anfield","Premier League","2006"
"31.10.2006","3 - 0","Bordeaux","Anfield","Champions League First Group Phase","2006"
"04.11.2006","2 - 0","Reading","Anfield","Premier League","2006"
"08.11.2006","1 - 0","Birmingham City","St Andrews","League Cup 4th round","2006"
"12.11.2006","0 - 3","Arsenal","Emirates Stadium","Premier League","2006"
"18.11.2006","0 - 0","Middlesbrough","Riverside","Premier League","2006"
"22.11.2006","2 - 0","PSV Eindhoven","Anfield","Champions League First Group Phase","2006"
"25.11.2006","1 - 0","Manchester City","Anfield","Premier League","2006"
"29.11.2006","0 - 0","Portsmouth","Anfield","Premier League","2006"
"02.12.2006","4 - 0","Wigan Athletic","JJB Stadium","Premier League","2006"
"05.12.2006","2 - 3","Galatasaray","Ataturk Stadium","Champions League First Group Phase","2006"
"09.12.2006","4 - 0","Fulham","Anfield","Premier League","2006"
"16.12.2006","3 - 0","Charlton Athletic","The Valley","Premier League","2006"
"23.12.2006","2 - 0","Watford","Anfield","Premier League","2006"
"26.12.2006","0 - 1","Blackburn Rovers","Ewood Park","Premier League","2006"
"30.12.2006","1 - 0","Tottenham Hotspur","White Hart Lane","Premier League","2006"
"01.01.2007","3 - 0","Bolton Wanderers","Anfield","Premier League","2006"
"06.01.2007","1 - 3","Arsenal","Anfield","FA Cup 3rd round","2006"
"09.01.2007","3 - 6","Arsenal","Anfield","League Cup 5th round","2006"
"13.01.2007","3 - 0","Watford","Vicarage Road","Premier League","2006"
"20.01.2007","2 - 0","Chelsea","Anfield","Premier League","2006"
"30.01.2007","2 - 1","West Ham United","Upton Park","Premier League","2006"
"03.02.2007","0 - 0","Everton","Anfield","Premier League","2006"
"10.02.2007","1 - 2","Newcastle United","St James' Park","Premier League","2006"
"21.02.2007","2 - 1","Barcelona","Nou Camp","Champions League  1st knockout r. 1st leg","2006"
"24.02.2007","4 - 0","Sheffield United","Anfield","Premier League","2006"
"03.03.2007","0 - 1","Manchester United","Anfield","Premier League","2006"
"06.03.2007","0 - 1","Barcelona","Anfield","Champions League 1st knockout r. 2nd leg","2006"
"18.03.2007","0 - 0","Aston Villa","Villa Park","Premier League","2006"
"31.03.2007","4 - 1","Arsenal","Anfield","Premier League","2006"
"03.04.2007","3 - 0","PSV Eindhoven","Philips Stadion","Champions League Quarter-final 1st leg","2006"
"07.04.2007","2 - 1","Reading","Madejski Stadium","Premier League","2006"
"11.04.2007","1 - 0","PSV Eindhoven","Anfield","Champions League Quarter-final 2nd leg","2006"
"14.04.2007","0 - 0","Manchester City","City of Manchester Stadium","Premier League","2006"
"18.04.2007","2 - 0","Middlesbrough","Anfield","Premier League","2006"
"21.04.2007","2 - 0","Wigan Athletic","Anfield","Premier League","2006"
"25.04.2007","0 - 1","Chelsea","Stamford Bridge","Champions League Semi-final 1st leg","2006"
"28.04.2007","1 - 2","Portsmouth","Fratton Park","Premier League","2006"
"01.05.2007","1 - 0","Chelsea","Anfield","Champions League Semi-final 2nd leg","2006"
"05.05.2007","0 - 1","Fulham","Craven Cottage","Premier League","2006"
"13.05.2007","2 - 2","Charlton Athletic","Anfield","Premier League","2006"
"23.05.2007","1 - 2","AC Milan","Athens Olympic Stadium","Champions League Final","2006"
"11.08.2007","2 - 1","Aston Villa","Villa Park","Premier League","2007"
"15.08.2007","1 - 0","Toulouse","Stadium Municipal","Champions League 3rd Qualifying round 1st leg","2007"
"19.08.2007","1 - 1","Chelsea","Anfield","Premier League","2007"
"25.08.2007","2 - 0","Sunderland","Stadium of Light","Premier League","2007"
"28.08.2007","4 - 0","Toulouse","Anfield","Champions League 3rd Qualifying round 2nd leg","2007"
"01.09.2007","6 - 0","Derby County","Anfield","Premier League","2007"
"15.09.2007","0 - 0","Portsmouth","Fratton Park","Premier League","2007"
"18.09.2007","1 - 1","Porto","Estadio da Dragao","Champions League First Group Phase","2007"
"22.09.2007","0 - 0","Birmingham City","Anfield","Premier League","2007"
"25.09.2007","4 - 2","Reading","Madejski Stadium","League Cup 3rd round","2007"
"29.09.2007","1 - 0","Wigan Athletic","JJB Stadium","Premier League","2007"
